user_id,item_id,score,school_id
1,12209,0,1
1,12233,1,1
1,12226,0,1
1,12245,0,1
1,12246,0,1
1,12241,0,1
1,12249,0,1
1,2975,0,1
1,3164,1,1
1,2959,0,1
1,3155,1,1
1,3150,0,1
1,11653,0,1
1,11354,0,1
1,11334,0,1
1,11337,0,1
1,11813,1,1
1,11802,1,1
1,11784,1,1
2,529,0,4
2,539,1,4
2,537,1,4
2,548,1,4
2,2783,0,4
2,2793,1,4
2,2747,0,4
2,11146,1,4
2,11163,1,4
2,11115,1,4
2,11142,1,4
2,11164,1,4
2,10955,1,4
2,10926,1,4
2,10896,1,4
2,10999,1,4
2,10951,1,4
3,496,1,2
3,2710,0,2
3,2720,1,2
3,522,1,2
3,517,0,2
3,3108,1,2
3,233,1,2
3,2811,0,2
3,2825,1,2
3,2807,1,2
3,2809,1,2
3,2833,1,2
3,2840,1,2
3,2750,1,2
3,2785,0,2
3,2740,1,2
3,2832,1,2
3,2777,0,2
3,2820,1,2
3,2819,1,2
3,11645,0,2
3,11666,1,2
3,5275,1,2
3,5278,1,2
3,5043,1,2
3,5030,1,2
3,4919,0,2
3,4963,0,2
3,4895,1,2
3,4922,1,2
3,4914,1,2
3,6577,1,2
3,5539,1,2
3,5546,1,2
3,9227,0,2
3,9048,0,2
3,9063,0,2
3,9047,1,2
3,9049,1,2
3,9126,1,2
3,5774,0,2
3,5830,0,2
3,5805,0,2
3,5780,1,2
3,5818,0,2
3,5614,0,2
3,5623,1,2
3,5665,0,2
3,5666,1,2
3,5620,1,2
3,5641,0,2
3,4737,1,2
3,5159,1,2
3,8057,0,2
3,8062,0,2
3,8038,1,2
3,12998,1,2
3,8060,1,2
3,12993,1,2
3,8069,1,2
3,3560,1,2
3,7072,1,2
3,7049,1,2
3,7188,1,2
3,7652,1,2
3,7747,0,2
3,7698,0,2
3,7767,1,2
3,7764,1,2
3,7701,1,2
3,3555,1,2
3,1234,1,2
3,4188,1,2
3,7567,1,2
3,1221,1,2
3,3702,1,2
3,4063,1,2
3,3864,1,2
3,13472,1,2
3,13482,1,2
3,13463,1,2
3,13450,1,2
3,13485,1,2
3,3977,1,2
3,1338,1,2
3,4261,1,2
3,1327,1,2
3,4301,1,2
3,6445,1,2
3,6545,0,2
3,6542,0,2
3,6422,0,2
3,6470,0,2
3,6393,1,2
3,6531,1,2
3,3512,1,2
3,9753,1,2
3,617,1,2
3,624,1,2
3,606,1,2
3,1430,1,2
3,1439,1,2
3,7343,1,2
3,607,1,2
3,609,1,2
3,629,1,2
3,623,1,2
3,628,1,2
3,8612,0,2
3,8540,1,2
3,8594,1,2
3,8543,1,2
3,6823,0,2
3,6814,0,2
3,6861,0,2
3,7876,0,2
3,7833,1,2
3,7844,1,2
3,7848,1,2
3,7819,0,2
3,7827,1,2
3,7818,1,2
3,7808,1,2
3,1660,1,2
3,7503,0,2
3,7496,0,2
3,7486,1,2
3,7266,1,2
3,7487,1,2
3,4690,1,2
3,1464,0,2
3,1447,1,2
3,10534,1,2
3,6893,1,2
3,6865,1,2
3,6901,1,2
3,6885,1,2
3,6892,1,2
3,7238,0,2
3,4719,1,2
3,4712,0,2
3,4722,1,2
3,4727,1,2
3,4723,1,2
3,3191,0,2
3,3212,0,2
3,8209,1,2
3,7438,1,2
3,7445,1,2
3,14612,0,2
3,7449,1,2
3,7457,1,2
3,8914,0,2
3,8998,0,2
3,8936,1,2
3,8826,1,2
3,8853,0,2
3,8958,0,2
3,8867,1,2
3,8988,1,2
3,8947,1,2
3,8933,1,2
3,8841,1,2
3,9375,1,2
3,1172,1,2
3,9552,1,2
3,11219,0,2
3,5507,1,2
3,9857,0,2
3,9839,1,2
3,9811,1,2
3,9889,1,2
3,10556,1,2
3,10796,1,2
3,1521,1,2
3,7107,0,2
3,10547,1,2
3,10517,1,2
3,10514,1,2
3,10786,1,2
3,1551,1,2
3,1608,0,2
3,1613,0,2
3,1603,1,2
3,1600,0,2
3,1622,1,2
3,1602,1,2
3,1619,1,2
3,11119,1,2
3,10880,1,2
3,1828,1,2
3,1696,1,2
3,1798,1,2
3,1781,0,2
3,1792,1,2
3,1780,1,2
3,1797,1,2
3,1824,1,2
3,11016,1,2
3,11123,1,2
3,1489,0,2
3,1471,1,2
3,1477,0,2
3,3280,0,2
3,1475,1,2
3,3256,1,2
3,3273,1,2
3,3284,1,2
3,7959,1,2
3,3278,1,2
3,5573,0,2
3,5563,1,2
3,5568,1,2
3,5551,1,2
3,4448,0,2
